Scientific-Name,Common-Name,Family,Active-Growth-Period,Height,Edible,Region,Season,Flower-Color,Fruit-Color,Plant-Time
Solanum lycopersicum,tomato,Solanaceae,Year-Round,6',Yes,Midwest-US,May-September,Yellow,Red
Solanum tuberosum,Irish potato,Solanaceae,90-110 days,3.5 ft,Yes,Much of the Midwest and into Canada and Maine,July-August,white pink purple or blue,Brown
Helianthus annuus,common-sunflower,Asteraceae,Summer,6-10ft,No,Warm Climates,July-October,Yellow,None,Spring
Syringa vulgaris,common lilac,Oleaceae,Spring and Summer,12-15 ft,Yes,Found in the northeastern half of the US and Canada,Mid-spring to early-summer,Purple,None,Fall or spring depending on the type
Daucus carota,Queen Anne's lace,Apiaceae,2 years,1-3ft,Yes,Reported invasive in CT; GA; HI; KY; MD; MI; MO; NJ; OR; TN; VA; WA; WI; and WV,Mid-spring to early fall,White,None,Early autumn or mid-spring depending on if it is annual or biennial
Ipomoea batatas,sweetpotato,Convolvulaceae,2.5-4 months,1-2 ft,Yes,Asia Africa Europe America Oceania,May-October,pink purple,N/A,March-June
Capsicum annuum,cayenne pepper,Solanaceae,60-90 days,3ft,yes,Grows in most of the US prefers warmer climates,Spring-Summer,White/Yellow,Green/Orange/Red
Phaseolus vulgaris,kidney bean,Fabaceae,2-4 months,1-10 ft,yes,Central and south america,June-February,White and pink,Green,April-October
Ocimum basilicum,sweet basil,Lamiaceae,3-4 weeks,12in-24in,yes,Central Africa and Southeast Asia,June-July,pink purple white,none,May-June
Cucumis sativus,garden cucumber,Cucurbitaceae,50-70 days,2-6 feet,yes,Origonally from Asia but are now grown on most continents,May through August,N/A,N/A,September
Lavandula,lavender,Lamiaceae,Spring,1 - 3 feet,yes,The Mediterranean Sea,June - August,Purple,None,April or May
Gypsophila paniculata,baby's breath,Caryophyllaceae,Summer,6-36 inches,No,Europe Asia and North Africa,Summer to Fall,White,N/A,Fall
